가구구분코드,가구원수,가구주_관계코드,가구주_성별코드,가구주_연령,가구주_학력코드,가구주_수학구분코드,가구주_취업여부,가구주_7차직업분류코드,가구주_종사상지위코드,입주형태코드,월세평가금액,전세보증금,월세사글세,소득구간코드,가계지출금액,가계지출_소비지출금액,가계지출_소비지출_식료품비주류음료구입비,가계지출_소비지출_주류담배구입비,가계지출_소비지출_의류신발구입비,가계지출_소비지출_주거수도광열비,가계지출_소비지출_가정용품가사서비스이용금액,가계지출_소비지출_보건제품구입비,가계지출_소비지출_교통비,가계지출_소비지출_통신비,가계지출_소비지출_오락문화비,가계지출_소비지출_오락문화_영상음향기기구입비,가계지출_소비지출_오락문화_사진광학장비구입비,가계지출_소비지출_오락문화_정보처리장치구입비,가계지출_소비지출_오락문화_기록매체구입비,가계지출_소비지출_오락문화_영상음향정보기기수리비,가계지출_소비지출_오락문화_내구재구입비,가계지출_소비지출_오락문화_악기기구구입비,가계지출_소비지출_오락문화_오락문화내구재유지수리비,가계지출_소비지출_오락문화_장난감취미용품구입비,가계지출_소비지출_오락문화_캠핑운동관련용품구입비,가계지출_소비지출_오락문화_화훼관련용품구입비,가계지출_소비지출_오락문화_애완동물관련물품구입비,가계지출_소비지출_오락문화_화훼애완동물서비스이용금액,가계지출_소비지출_오락문화_운동오락서비스이용금액,가계지출_소비지출_오락문화_문화서비스이용금액,가계지출_소비지출_오락문화_복권구입비,가계지출_소비지출_오락문화_서적구입비,가계지출_소비지출_오락문화_기타인쇄물구입비,가계지출_소비지출_오락문화_문구구입비,가계지출_소비지출_오락문화_단체여행경비,가계지출_소비지출_교육비,가계지출_소비지출_음식숙박비,가계지출_소비지출_음식숙박_식대,가계지출_소비지출_음식숙박_숙박비,가계지출_소비지출_기타상품서비스이용금액,도시읍면부구분코드,조사연도
1,1,1,1,22,4,1,1,4,1.0,6,770,30000,550,3,2644968,2485857,120317,118700,323657,725803,25903,46257,245033,139593,131282,0,0,0,0,0,0,0,0,0,6833,0,0,0,51500,72949,0,0,0,0,0,87067,464020,464020,0,58224,1,2019
1,1,1,1,22,4,1,1,8,1.0,6,350,1000,320,3,1271580,926950,35950,135000,5000,373300,2000,0,5400,59900,26500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26500,0,0,0,0,0,0,268200,268200,0,15700,1,2019
1,1,1,1,22,5,1,1,8,2.0,6,280,5000,250,1,1096073,1066404,108551,97400,45714,366760,11814,0,139693,74757,31586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29357,0,0,0,2229,0,0,166543,154400,12143,23586,1,2019
1,1,1,1,22,6,2,1,3,2.0,6,300,1000,280,2,1504032,1478865,65683,23538,13618,308629,6398,12000,113390,40180,300240,0,0,211333,0,0,0,0,0,0,0,0,0,0,0,13140,0,17000,0,2100,56667,391673,179085,138483,40602,24430,1,2019
1,1,1,1,22,6,2,1,3,2.0,6,600,10000,570,1,751507,751507,168613,9500,102870,31757,5863,2000,12440,64230,86833,51333,0,3333,0,0,0,0,0,0,0,0,0,0,29667,2500,0,0,0,0,0,0,231067,231067,0,36333,1,2019
1,1,1,1,22,6,2,1,4,3.0,6,450,5000,350,2,2514386,2503058,104485,11000,141459,419983,4189,17750,67825,20000,110250,19125,0,0,0,0,0,0,0,0,0,5375,0,0,53500,29125,0,625,0,2500,0,1293750,264642,264642,0,47726,1,2019
1,1,1,1,22,6,2,1,4,3.0,7,270,0,270,2,1646422,1646422,56954,38504,28780,351780,12560,2700,80620,40930,40660,0,4380,0,0,0,0,0,0,0,0,0,0,0,24600,6480,0,5200,0,0,0,798400,172320,146320,26000,22214,1,2019
1,1,1,1,22,6,5,1,3,2.0,6,230,5000,200,2,1410853,1059708,44503,55725,161230,670,2850,500,78634,45531,156800,0,0,8750,0,0,0,0,0,3000,2500,0,0,0,115850,16950,0,9750,0,0,0,0,328795,306295,22500,184471,1,2019
1,1,1,1,23,4,1,1,7,1.0,4,500,65000,0,3,1356885,1090511,109446,10153,129383,50930,17412,3167,122268,74773,67093,0,0,0,0,0,0,0,0,0,0,0,0,0,21383,45710,0,0,0,0,0,0,471269,471269,0,34617,1,2019
1,1,1,1,23,4,1,1,7,1.0,6,315,3000,300,4,1894371,1418437,62477,6250,194200,391585,10500,24550,155125,48470,94579,0,0,18500,0,0,6499,0,0,0,0,0,0,0,38750,30330,0,0,0,500,0,0,389279,345329,43950,41422,1,2019
1,1,1,1,23,4,1,1,8,1.0,6,350,1000,260,3,1425855,980169,62125,3750,0,362538,76595,0,89450,48683,41387,0,0,0,0,0,0,0,0,0,0,0,0,0,14000,15247,0,0,0,12140,0,0,232700,232700,0,62942,1,2019
1,1,1,1,23,4,1,1,8,2.0,6,250,60000,50,3,574270,559270,119940,0,0,119800,3950,0,81000,80000,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,80300,80300,0,71780,1,2019
1,1,1,1,23,5,1,1,5,3.0,4,380,95000,0,1,558140,558140,190090,4835,48450,105685,1100,0,22500,22160,86100,0,0,0,0,0,0,0,0,0,0,0,0,0,72500,13600,0,0,0,0,0,0,48150,48150,0,29070,1,2019
1,1,1,1,23,5,2,1,5,3.0,6,250,1000,250,2,1884360,1884360,55160,0,0,330000,21100,0,103600,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1198500,115000,115000,0,11000,1,2019
1,1,1,1,23,6,2,1,4,2.0,6,370,2000,330,1,625108,598608,55010,40690,15545,100950,2380,830,55375,0,87158,0,0,15515,8000,8000,0,0,0,0,0,0,0,0,29400,17003,0,0,0,4240,5000,0,227790,211790,16000,12880,1,2019
1,1,1,1,23,6,2,1,4,2.0,6,600,10000,500,2,1345797,1264077,105927,58487,96118,47577,26107,107792,61255,64190,125255,15000,0,0,0,0,0,0,0,0,0,7667,500,0,59567,35155,0,3750,0,3617,0,44833,465483,465483,0,61053,1,2019
1,1,1,1,23,6,2,1,4,3.0,6,350,2000,250,1,497524,497524,83038,40267,12950,105568,3177,6917,31000,10167,14667,5667,0,4500,0,0,0,0,0,0,0,0,0,0,2000,2500,0,0,0,0,0,0,171167,171167,0,18608,1,2019
1,1,1,1,23,6,2,1,4,3.0,7,290,0,290,2,1557613,1557613,17340,24433,4333,347948,5092,250,77027,60934,82483,25833,0,0,0,0,0,0,0,11667,0,0,0,0,44783,200,0,0,0,0,0,665333,233175,233175,0,39263,1,2019
1,1,1,1,23,6,5,1,8,1.0,6,400,5000,370,2,2336605,2154046,222363,79239,85193,505246,17419,124237,245389,71460,183892,0,0,0,0,0,0,0,0,0,27119,0,0,0,58843,86859,0,0,0,3929,7143,0,485226,449012,36214,134383,1,2019
1,1,1,1,24,4,1,1,7,1.0,4,400,120000,0,5,2483432,1489282,55987,17363,143300,114478,3833,12400,200550,50342,170614,0,0,0,0,0,0,0,0,42167,0,0,0,0,32000,8333,0,0,0,0,88114,0,570700,565700,5000,149715,1,2019
1,1,1,1,24,4,1,1,8,1.0,6,400,5000,370,5,1682769,941735,28297,8143,14286,421513,8121,2857,100429,93472,94374,0,0,0,0,0,0,0,0,0,0,0,8571,63714,17071,5017,0,0,0,0,0,0,148314,148314,0,21929,1,2019
1,1,1,1,24,5,1,1,3,1.0,6,350,10000,350,3,1779692,1370677,168273,0,27320,368375,8150,23423,115313,57650,121138,103338,0,0,0,0,0,0,0,0,0,0,0,0,7500,10300,0,0,0,0,0,0,427000,421250,5750,54038,1,2019
1,1,1,1,24,6,1,1,2,1.0,4,270,30000,0,4,1948717,1180467,322150,55890,67742,98267,11389,52806,13194,151770,91055,3767,0,0,0,0,0,0,0,1222,9443,0,0,0,51000,17790,0,0,0,7833,0,0,271682,271682,0,44522,1,2019
1,1,1,1,24,6,1,1,4,1.0,6,300,30000,70,5,2606137,2224597,184985,89672,34560,138148,183064,49940,573032,71110,168202,0,0,0,0,0,0,0,0,0,400,6000,0,0,12000,83722,0,56460,0,9620,0,0,623764,574364,49400,108120,1,2019
1,1,1,1,24,6,1,1,4,3.0,6,270,1000,260,2,1149012,1146445,115828,64037,86317,296007,4023,3067,111382,116687,32373,0,0,167,0,0,0,0,0,0,0,0,0,0,7083,22323,0,2800,0,0,0,0,298459,293959,4500,18267,1,2019
1,1,1,1,24,6,2,1,2,3.0,6,315,20000,255,1,1002731,994398,95207,11800,13000,292018,5292,85450,93093,46291,78478,0,0,2692,0,0,0,0,0,16667,0,0,2500,0,29167,22204,0,5167,0,82,0,21083,228537,222370,6167,24150,1,2019
1,1,1,1,24,6,2,1,3,1.0,6,350,5000,300,3,2135601,1875291,68210,103000,20530,467045,35926,8770,245414,61222,63327,1400,0,300,0,0,0,0,0,0,2000,0,0,0,19810,3800,0,5490,0,527,30000,480952,216038,211862,4176,104857,1,2019
1,1,1,1,24,6,2,1,4,2.0,6,600,10000,450,2,1436840,1364110,104636,7234,58614,460440,10680,900,93908,28314,75648,32660,0,21138,0,0,0,0,0,2000,0,0,0,0,3860,11790,0,0,0,4200,0,0,512080,368080,144000,11656,1,2019
1,1,1,1,24,6,2,1,4,3.0,4,240,8000,0,1,941678,765960,73500,55000,0,122480,14050,185420,108860,80000,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,3000,0,0,45800,45800,0,75350,1,2019
1,1,1,1,24,6,2,1,7,1.0,4,420,80000,0,3,1814582,1379142,93300,0,132700,110650,10800,24000,52900,43420,16400,9900,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,4000,0,240000,545700,545700,0,109272,1,2019
1,1,1,1,25,2,1,1,7,2.0,2,410,0,0,1,1416949,1386949,140140,8900,38850,410800,43000,210000,45600,36300,113239,0,0,0,0,0,0,0,0,0,0,0,0,0,52500,60739,0,0,0,0,0,0,125320,125320,0,214800,1,2019
1,1,1,1,25,4,1,1,2,1.0,4,300,55000,0,3,1968334,1640204,45070,0,62200,77196,56596,22940,209530,329177,179730,1000,0,1000,0,0,0,0,0,0,0,1000,0,0,31080,145450,0,0,0,200,0,0,530840,520840,10000,126925,1,2019
1,1,1,1,25,4,1,1,4,1.0,4,220,43000,0,4,1961356,1389544,206216,0,195986,78446,98342,64116,373272,55346,61823,0,0,0,0,0,0,0,0,0,0,0,0,0,6200,3003,0,7160,0,200,45260,20000,152610,152610,0,83387,1,2019
1,1,1,1,25,4,1,1,4,1.0,6,450,10000,400,3,1852006,1559302,60204,96200,48200,495346,10420,34400,168060,54250,73492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73492,0,0,0,0,0,0,493450,493450,0,25280,1,2019
1,1,1,1,25,4,1,1,5,3.0,7,187,0,187,2,1161039,1136439,154258,33813,62538,220088,26090,26713,123920,97897,184803,1250,0,0,0,0,0,0,0,0,0,0,7375,0,0,174053,0,1950,0,175,0,42425,139725,139725,0,24172,1,2019
1,1,1,1,25,4,1,1,7,1.0,4,500,43000,0,6,7783907,6610534,92288,10887,41433,98955,8383,54757,5627352,49390,91411,0,0,0,0,9800,0,0,0,0,0,5833,0,16333,22517,36927,0,0,0,0,0,0,450083,450083,0,85595,1,2019
1,1,1,1,25,4,1,1,8,1.0,6,250,1000,220,3,1769729,1410594,34715,123200,0,276582,14200,5000,221400,83880,144638,0,0,13000,0,0,0,0,0,0,0,0,0,0,0,131638,0,0,0,0,0,0,486805,486805,0,20174,1,2019
1,1,1,1,25,5,1,1,4,1.0,6,370,5000,350,3,1864328,1622898,64996,2700,245288,396494,6854,13980,126516,85628,346772,0,0,0,0,0,0,0,0,0,0,0,0,0,5100,14550,0,0,0,560,326562,0,277620,267820,9800,56050,1,2019
1,1,1,1,25,6,1,1,3,1.0,6,330,2000,330,4,2169176,1274916,76855,0,0,360085,25000,26335,51650,96900,125120,0,0,0,0,0,0,0,0,0,0,0,0,0,105000,20120,0,0,0,0,0,0,111850,96850,15000,401121,1,2019
1,1,1,1,25,6,1,1,4,1.0,4,275,55000,0,3,2002770,1709530,116800,1400,88600,94170,114660,0,22550,55200,66770,35000,0,0,0,0,0,0,0,0,0,0,0,0,21680,10090,0,0,0,0,0,0,553000,454000,99000,596380,1,2019
1,1,1,1,25,6,1,1,4,1.0,4,900,120000,0,3,1921270,1651886,292905,83483,29020,47185,30600,129873,272074,73338,280649,0,0,197150,2225,0,0,0,0,10500,1250,0,0,0,54000,5999,0,5400,0,4125,0,87500,162225,162225,0,163035,1,2019
1,1,1,1,25,6,1,1,5,3.0,4,275,55000,0,1,700460,585992,67063,8814,37939,52539,17901,13178,71627,27001,43779,2667,0,13556,0,0,0,0,0,0,0,1100,0,0,5333,1611,0,18846,0,667,0,49056,145713,145713,0,51383,1,2019
1,1,1,1,25,6,2,1,4,1.0,6,160,2000,150,5,3789831,2819430,207992,50882,101407,243585,34868,130801,674970,63022,395176,0,6027,0,0,0,0,491,0,818,2900,2727,0,0,108091,33332,909,26461,0,1382,212038,231545,471586,459768,11818,213597,1,2019
1,1,1,1,25,6,2,1,4,2.0,6,300,2000,300,1,1158540,1119307,82770,10900,41360,308276,804,46620,114808,35134,80360,30000,0,0,0,0,0,0,0,0,0,0,0,0,9840,28420,0,10580,1520,0,0,0,354389,345010,9379,43886,1,2019
1,1,1,1,25,6,2,1,5,3.0,4,240,75000,0,1,990335,767730,75930,28500,0,224000,2000,0,51800,89000,33500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33500,0,0,0,0,0,96000,156000,156000,0,11000,1,2019
1,1,1,1,25,6,2,1,5,3.0,7,150,0,150,1,335705,335705,141795,0,40840,370,1010,16550,17350,0,9250,0,0,0,9250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102200,102200,0,6340,1,2019
1,1,1,1,25,6,2,1,8,2.0,4,250,40000,0,1,1208476,1053595,65283,10427,0,46077,32120,0,100242,54223,53933,0,0,15000,0,0,0,0,0,0,0,0,0,0,14667,3333,1667,18600,0,667,0,110000,424550,424550,0,156740,1,2019
1,1,1,1,25,6,5,1,3,2.0,4,300,60000,0,1,836051,731051,88553,2940,89260,74171,4789,38014,86914,16500,77201,16143,0,9396,0,0,0,0,0,0,0,10043,0,0,4000,18026,1429,17009,0,1157,0,0,188247,188247,0,64461,1,2019
1,1,1,1,25,7,2,1,2,2.0,4,250,30000,0,2,1516610,1279185,75335,5644,29225,39844,6325,4188,187539,5888,333136,24728,0,163061,6711,0,0,57500,0,2875,4600,0,0,0,6813,50811,313,13563,0,2163,0,124750,395662,364412,31250,71651,1,2019
1,1,1,1,25,7,2,1,2,2.0,4,250,30000,0,3,1371185,1221185,89125,0,78400,97815,31485,20300,103950,37670,375500,0,0,218400,0,0,0,0,0,0,0,0,0,0,0,142350,0,13250,0,1500,0,0,270540,270540,0,116400,1,2019
1,1,1,1,25,7,2,1,2,2.0,6,300,10000,200,2,1663130,1559487,83892,2578,30567,273737,1349,24337,194254,0,166814,4433,0,136006,1300,0,0,0,0,0,0,0,0,0,11644,11542,0,1889,0,0,0,516667,237203,233981,3222,28089,1,2019
1,1,1,1,25,7,2,1,2,2.0,6,300,3000,300,3,1692926,1301796,6425,97938,5625,389671,250,0,69963,0,111000,0,0,0,0,0,0,0,0,0,0,0,0,0,76625,9375,0,0,0,0,25000,0,588800,520675,68125,32125,1,2019
1,1,1,1,25,8,2,1,2,2.0,6,135,1000,130,3,1791106,1590238,101546,141260,13982,22902,21068,540,44010,69130,123580,5480,0,56900,1300,0,0,0,0,0,0,0,0,0,47600,5150,0,7150,0,0,0,603000,431980,431980,0,17240,1,2019
1,1,1,1,26,4,1,1,5,2.0,6,270,2000,230,2,920583,895807,140060,6988,938,329000,11256,235654,6399,36636,59437,21125,0,7248,0,0,0,0,0,0,525,0,0,0,488,29740,188,0,0,125,0,0,54080,54080,0,15360,1,2019
1,1,1,1,26,5,1,1,2,1.0,2,350,0,0,3,1487017,1084063,69263,26950,29633,402903,5533,18467,105267,50857,19190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19190,0,0,0,0,0,0,328667,328667,0,27333,1,2019
1,1,1,1,26,5,1,1,4,3.0,2,100,0,0,2,804535,804313,46587,102629,76829,100126,5392,18999,199207,1111,37700,0,0,0,0,0,0,0,0,0,0,556,0,0,28478,8000,222,0,0,444,0,0,208567,208567,0,7167,1,2019
